GEOID,NAME,ABBR,year,index_eq_community_living,index_eq_living_arrangements,index_eq_community_participation,index_eq_commute,index_eq_education,index_eq_insurance,index_eq_tech,index_eq_all_work_indicators,index_eq_work_economic,index_eq_housing_affordability,index_eq_negative_work,index_eq_positive_work,index_eq_adaparc,index_rel_community_living,index_rel_community_resource,index_rel_housing_access,index_rel_living_arrangements,index_rel_community_participation,index_rel_commute,index_rel_education,index_rel_insurance,index_rel_safety,index_rel_tech,index_rel_all_work_indicators,index_rel_work_economic,index_rel_housing_affordability,index_rel_negative_work,index_rel_positive_work,index_rel_adaparc,index_adaparc
44,Rhode Island,RI,2024,49.12115246136686,49.12115246136686,50.479607325387526,72.92257282250745,58.38647509103994,46.409807937477616,24.19957345052513,45.422739480348014,42.550863919897395,39.67898835944678,61.041780419758226,29.8036985409378,47.383874568883925,44.961120266023414,52.81178352369176,54.90164589187606,27.169931382502423,56.730500331172166,43.39056469007376,39.25513939527435,71.74941070310187,87.63751016814311,41.619876699267714,45.434965166891935,40.17255594244065,34.91014671798938,44.90060477545059,45.969325558333274,47.28805884654541,47.33596670771466
45,South Carolina,SC,2024,37.47473048158996,37.47473048158996,55.34795513862571,49.71933769788459,67.885823735409,61.348504239079034,42.43815488213019,51.70876997576947,51.08655645844607,50.46434294112266,42.16122210060561,61.256317850933335,47.969747359553914,37.523288603869034,28.49357078594847,8.77596667437857,75.30032835128006,30.26211603821005,23.34790874184695,31.42516785936236,33.9696035012073,26.54674259871912,36.021157489914515,39.4191159610268,45.582274057125744,51.7454321532247,47.2410160047537,31.59721591729989,37.78922623306827,42.87948679631109
46,South Dakota,SD,2024,60.86110763891223,60.86110763891223,45.24646399153628,40.90255790704,49.23986717481608,56.18195526890192,34.66147561538714,48.200601975721526,60.8919869808952,73.58337198606888,37.88153108638886,58.51967286505419,55.666519537114574,42.00409043763256,43.32453091914157,67.31874187021727,15.368998523538869,40.52333601592444,34.03064225651357,62.65905867159444,34.12369385778457,38.81170716010634,32.99157813362331,73.40193649497436,68.63624235577336,63.87054821657235,78.86722327317389,67.93664971677484,50.387889603110125,53.027204570112346
47,Tennessee,TN,2024,49.31561886709045,49.31561886709045,49.29078122770038,53.653989210989735,63.39589331868814,56.54546602261811,23.567776358505537,51.016257868171294,58.83584625758334,66.65543464699539,57.87041031844563,44.162105417896946,52.48074878412473,44.14639295998941,46.56407905352257,18.945544825135386,66.92955500131029,24.712510556536788,25.87280868946428,23.959981027224497,28.18387582606739,17.581823437281237,27.96406380264652,34.816959235189046,44.15856925438537,53.500179273581686,43.81631912328587,25.817599347092223,37.67249092363719,45.07661985388096
48,Texas,TX,2024,57.50171692292591,57.50171692292591,56.73681742065652,52.72233906751066,54.37692772219257,38.666293228523536,81.18170966439934,49.90294372094929,35.47298210862985,21.04302049631042,23.910715457586154,75.89517198431243,49.903838817404086,38.69548575754798,35.185364744204165,26.092706276976084,54.80838625146369,38.7384586733249,38.559808469620535,30.83262289170726,24.10631625333893,30.91135676619011,69.28218898576766,60.40469357320549,62.6858316857987,64.966969798391915,57.5791459378242,63.23024120858679,46.70659203889053,48.30521542814731
000,United States,USA,2024,54.53220948404406,54.53220948404406,52.009201799216065,54.25091930700739,48.18350084360114,49.32887869094106,56.273508355314675,47.8719885002218,47.8719885002218,51.42221662859046,50.40030842489034,45.343668575553274,51.47113326116064,50.04570897703302,49.529594996846015,48.45416992979857,49.21324580014109,49.91402081388815,54.24767864368398,42.30943454797378,45.481185699486595,52.34523736056855,57.61778436440824,44.499587683721174,44.499587683721174,50.01009715857571,46.46324103406709,42.53593433337525,50.40465413234097,50.0613616281645
49,Utah,UT,2024,66.47103055827326,66.47103055827326,59.53140819470099,45.32955044791045,38.87622344174304,57.49569827735701,96.42416061179344,50.48301238961298,40.568188549379926,30.65336470914687,23.694756602023972,77.27126817720199,55.52354243411806,61.77073533206883,41.42414252805578,83.494947546595,60.39311592155573,70.6024538407514,57.12143032328598,84.78867869460298,46.677812856496864,67.36177845750001,97.06256887187112,84.73241884507706,85.50256004403488,86.27270124299271,87.78249616560703,81.68234152454708,72.6252497389517,64.07439608653488
51,Virginia,VA,2024,49.111766703324186,49.111766703324186,46.45916206870856,56.863987135442294,38.00334244223451,55.2410998221417,35.72821887501573,37.886036473405014,36.78682350036382,35.68761052732263,43.09644491192753,32.6756280348825,44.11925075746552,55.087071668549264,81.92386438589818,26.03142140044579,57.30592921930381,56.92027933461499,48.25778037620779,64.82852344065716,60.894574020593446,59.91363017411534,50.706888661501246,70.08557033890497,76.3991806595142,82.71279098012342,65.77443351131416,74.39670716649577,62.802177220892816,53.46071398917917
50,Vermont,VT,2024,38.5070456461881,38.5070456461881,35.83121064781808,28.85046970526511,29.4434840979738,50.32656881178108,34.70431997625236,53.642291217474536,53.81885281153647,53.9954144055984,80.00842604156124,27.276156393387833,42.71903636851422,69.7251362549407,64.16735823422272,97.68458806874531,47.32346246185403,65.04569516941999,52.96981578727187,88.44501936562736,67.4133371546409,74.08342158977268,42.31688194978717,40.60201075111142,31.322077071284937,22.042143391458453,54.24644797735041,26.95757352487244,55.364302831881865,49.04166960019804
53,Washington,WA,2024,47.97277939982211,47.97277939982211,62.09651260811927,81.8113393373021,28.51159011249404,50.86147564074346,87.20164534193749,45.41180137710459,36.816995782056765,28.22219018700894,49.128158504306334,41.69544424990284,48.962095929999386,79.16848220294408,87.6523163159203,81.60993775551361,68.24319253739833,67.46398666832124,71.57612589211928,79.41101151334955,59.80622871008129,37.08848816107222,89.43807906498388,62.150704865373626,60.90756936928037,59.66443387318711,56.722966298984296,67.57844343176296,69.18001274684856,59.07105433842398
